Dataset,Technique,Application,Test_Data,Task_ID,Model,ChatGPT_Reponse_Time,Execution_Time,Accuracy,Precision,Recall,F1_Score,Exact_Match
HumanEval,Zero Shot,Function,Test Data 1,153,Model 1,6.52,0.04919,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,153,Model 1,6.52,0.063,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,153,Model 1,6.52,0.08162,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 1,153,Model 2,6.03,0.03891,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,153,Model 2,6.03,0.05724,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,153,Model 2,6.03,0.07191,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 1,153,Model 3,5.72,0.04625,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,153,Model 3,5.72,0.06046,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,153,Model 3,5.72,0.10911,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,102,Model 1,7.12,0.00636,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,102,Model 1,7.12,0.00263,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,102,Model 1,7.12,11.31258,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,102,Model 2,7.97,0.00551,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 2,102,Model 2,7.97,0.0028,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,102,Model 2,7.97,0.00389,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,102,Model 3,9.54,0.00251,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,102,Model 3,9.54,0.00156,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,102,Model 3,9.54,0.00219,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,95,Model 1,5.97,0.00459,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,95,Model 1,5.97,0.00594,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 3,95,Model 1,5.97,0.00378,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,95,Model 2,7.25,0.0073,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,95,Model 2,7.25,0.00862,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 3,95,Model 2,7.25,0.00638,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,95,Model 3,7.07,0.00917,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,95,Model 3,7.07,0.01042,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 3,95,Model 3,7.07,0.01213,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,107,Model 1,7.15,0.46724,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,107,Model 1,7.15,0.05043,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,107,Model 1,7.15,0.01507,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,107,Model 2,8.47,0.64091,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 2,107,Model 2,8.47,0.06783,0.5,0.5,0.5,0.5,0
HumanEval,Zero Shot,Function,Test Data 3,107,Model 2,8.47,0.01762,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,107,Model 3,8.79,1.12465,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 2,107,Model 3,8.79,0.12722,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 3,107,Model 3,8.79,0.03582,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 1,67,Model 1,6.58,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 2,67,Model 1,6.58,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 3,67,Model 1,6.58,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 1,67,Model 2,7.18,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 2,67,Model 2,7.18,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 3,67,Model 2,7.18,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 1,67,Model 3,6.93,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 2,67,Model 3,6.93,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 3,67,Model 3,6.93,0,0,0,0,0,0
HumanEval,Zero Shot,Function,Test Data 1,20,Model 1,6.32,0.01313,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,20,Model 1,6.32,0.01076,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,20,Model 1,6.32,0.01069,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 1,20,Model 2,8,0.01583,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 2,20,Model 2,8,0.01504,1,1,1,1,1
HumanEval,Zero Shot,Function,Test Data 3,20,Model 2,8,0.01267,1,1,1,1,1
