Dataset,Technique,Application,Test_Data,Task_ID,Model,ChatGPT_Reponse_Time,Execution_Time,Accuracy,Precision,Recall,F1_Score,Exact_Match
HumanEval,CoT,Function,Test Data 1,153,Model 1,7.47,0.04431,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,153,Model 1,7.47,0.06819,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,153,Model 1,7.47,0.08926,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,153,Model 2,8.59,0.03632,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Function,Test Data 2,153,Model 2,8.59,0.03561,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,153,Model 2,8.59,0.0442,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Function,Test Data 1,153,Model 3,9.12,0.05189,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,153,Model 3,9.12,0.07278,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,153,Model 3,9.12,0.09511,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,102,Model 1,6.26,0.0033,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Function,Test Data 2,102,Model 1,6.26,0.00463,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Function,Test Data 3,102,Model 1,6.26,0.00449,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,102,Model 2,6.82,0.00429,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,102,Model 2,6.82,0.00372,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,102,Model 2,6.82,0.00328,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,102,Model 3,6.64,0.00702,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,102,Model 3,6.64,0.00292,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,102,Model 3,6.64,0.00546,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,95,Model 1,8.06,0.00328,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Function,Test Data 2,95,Model 1,8.06,0.00377,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,95,Model 1,8.06,0.00308,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,95,Model 2,7.05,0.01309,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,95,Model 2,7.05,0.0086,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,95,Model 2,7.05,0.00943,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,95,Model 3,9.2,0.00503,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,95,Model 3,9.2,0.00778,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,95,Model 3,9.2,0.00389,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,107,Model 1,8.61,0.49067,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,107,Model 1,8.61,0.06105,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,107,Model 1,8.61,0.0161,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,107,Model 2,6.23,0.69014,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,107,Model 2,6.23,0.02377,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,107,Model 2,6.23,0.00679,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,107,Model 3,7.21,0.59331,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Function,Test Data 2,107,Model 3,7.21,0.06474,0.50,0.50,0.50,0.50,0.00
HumanEval,CoT,Function,Test Data 3,107,Model 3,7.21,0.02052,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,67,Model 1,4.51,0.01302,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,67,Model 1,4.51,0.00751,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,67,Model 1,4.51,0.00667,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,67,Model 2,7.09,0.02057,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,67,Model 2,7.09,0.0168,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,67,Model 2,7.09,0.01832,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,67,Model 3,7.81,0.00933,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,67,Model 3,7.81,0.01163,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,67,Model 3,7.81,0.00938,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,20,Model 1,5.61,0.03761,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,20,Model 1,5.61,0.02813,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,20,Model 1,5.61,0.02838,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,20,Model 2,6.29,0.01467,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,20,Model 2,6.29,0.01284,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 3,20,Model 2,6.29,0.01904,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 1,20,Model 3,7.73,0.06675,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Function,Test Data 2,20,Model 3,7.73,0.04423,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Function,Test Data 3,20,Model 3,7.73,0.04509,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 1,153,Model 1,5.33,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,153,Model 1,5.33,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,153,Model 1,5.33,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,153,Model 2,6.21,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,153,Model 2,6.21,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,153,Model 2,6.21,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,153,Model 3,6.76,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,153,Model 3,6.76,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,153,Model 3,6.76,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,102,Model 1,6.58,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,102,Model 1,6.58,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,102,Model 1,6.58,0.001,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 1,102,Model 2,5.35,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,102,Model 2,5.35,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,102,Model 2,5.35,0.00363,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 1,102,Model 3,5.01,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,102,Model 3,5.01,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,102,Model 3,5.01,0.00151,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 1,95,Model 1,9.24,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,95,Model 1,9.24,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 3,95,Model 1,9.24,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,95,Model 2,7.05,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,95,Model 2,7.05,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 3,95,Model 2,7.05,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 1,95,Model 3,5.93,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,95,Model 3,5.93,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 3,95,Model 3,5.93,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 1,107,Model 1,5.51,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 2,107,Model 1,5.51,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,107,Model 1,5.51,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,107,Model 2,7.59,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 2,107,Model 2,7.59,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,107,Model 2,7.59,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,107,Model 3,7.53,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 2,107,Model 3,7.53,0.001,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,107,Model 3,7.53,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,67,Model 1,7.84,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 2,67,Model 1,7.84,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,67,Model 1,7.84,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,67,Model 2,7.19,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 2,67,Model 2,7.19,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,67,Model 2,7.19,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,67,Model 3,8.05,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 2,67,Model 3,8.05,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,67,Model 3,8.05,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,20,Model 1,6.25,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 2,20,Model 1,6.25,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 3,20,Model 1,6.25,0,0.00,0.00,0.00,0.00,0.00
HumanEval,CoT,Snippet,Test Data 1,20,Model 2,5.35,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,20,Model 2,5.35,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 3,20,Model 2,5.35,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 1,20,Model 3,6.8,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 2,20,Model 3,6.8,0,1.00,1.00,1.00,1.00,1.00
HumanEval,CoT,Snippet,Test Data 3,20,Model 3,6.8,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 1,233,Model 1,6.3,0.00896,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 2,233,Model 1,6.3,0.01152,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,233,Model 1,6.3,0.0131,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 1,233,Model 2,4.98,0.03188,0.50,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 2,233,Model 2,4.98,0.04604,0.22,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 3,233,Model 2,4.98,0.03353,0.20,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 1,233,Model 3,4.87,0.02923,0.50,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 2,233,Model 3,4.87,0.0378,0.22,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 3,233,Model 3,4.87,0.01999,0.20,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 1,114,Model 1,11.47,0.01457,0.67,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 2,114,Model 1,11.47,0.01286,0.75,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 3,114,Model 1,11.47,0.01304,0.80,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 1,114,Model 2,12.62,0.01754,0.67,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 2,114,Model 2,12.62,0.01978,0.75,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 3,114,Model 2,12.62,0.02311,0.80,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 1,114,Model 3,8.1,0.01204,0.67,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 2,114,Model 3,8.1,0.01237,0.75,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 3,114,Model 3,8.1,0.01176,0.80,1.00,1.00,1.00,0.00
BIG Bench,CoT,Function,Test Data 1,14,Model 1,5.54,0.00255,0.75,1.00,0.75,0.86,0.00
BIG Bench,CoT,Function,Test Data 2,14,Model 1,5.54,0.00225,0.80,0.80,0.80,0.80,0.00
BIG Bench,CoT,Function,Test Data 3,14,Model 1,5.54,0.00225,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 1,14,Model 2,3.97,0.00373,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 2,14,Model 2,3.97,0.00247,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,14,Model 2,3.97,0.003,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 1,14,Model 3,3.83,0.00391,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 2,14,Model 3,3.83,0.00869,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,14,Model 3,3.83,0.00963,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 1,31,Model 1,8.02,0.00366,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 2,31,Model 1,8.02,0.00587,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 3,31,Model 1,8.02,0.00294,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 1,31,Model 2,5.81,0.00861,0.67,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 2,31,Model 2,5.81,0.03406,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,31,Model 2,5.81,0.01164,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 1,31,Model 3,5.95,0.01155,0.67,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 2,31,Model 3,5.95,0.01055,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,31,Model 3,5.95,0.00542,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 1,184,Model 1,7.79,0.01105,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 2,184,Model 1,7.79,0.01318,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,184,Model 1,7.79,0.02399,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 1,184,Model 2,5.02,0.01391,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 2,184,Model 2,5.02,0.01668,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,184,Model 2,5.02,0.00491,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 1,184,Model 3,4.48,0.00623,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 2,184,Model 3,4.48,0.01774,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,184,Model 3,4.48,0.00984,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 1,69,Model 1,6.41,0.00641,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 2,69,Model 1,6.41,0.00361,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 3,69,Model 1,6.41,0.00385,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 1,69,Model 2,6.08,0.00422,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 2,69,Model 2,6.08,0.00864,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 3,69,Model 2,6.08,0.00422,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 1,69,Model 3,6.14,0.00354,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 2,69,Model 3,6.14,0.004,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 3,69,Model 3,6.14,0.00261,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Function,Test Data 1,213,Model 1,5.88,0.02347,1.00,1.00,1.00,1.00,1.00
