Dataset,Technique,Application,Test_Data,Task_ID,Model,ChatGPT_Reponse_Time,Execution_Time,Accuracy,Precision,Recall,F1_Score,Exact_Match
HumanEval,Few Shot,Function,Test Data 1,153,Model 1,10.19,0.05068,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,153,Model 1,10.19,0.05749,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,153,Model 1,10.19,0.07499,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,153,Model 2,9.79,0.04266,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,153,Model 2,9.79,0.06612,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,153,Model 2,9.79,0.085,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,153,Model 3,9.33,0.05157,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,153,Model 3,9.33,0.07193,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,153,Model 3,9.33,0.0894,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,102,Model 1,10.14,0.00681,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,102,Model 1,10.14,0.0023,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,102,Model 1,10.14,11.41488,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,102,Model 2,10.91,0.01134,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,102,Model 2,10.91,0.00342,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,102,Model 2,10.91,6.42835,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,102,Model 3,10.41,0.00188,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,102,Model 3,10.41,0.00205,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,102,Model 3,10.41,0.00228,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,95,Model 1,7.94,0.00962,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,95,Model 1,7.94,0.00854,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,95,Model 1,7.94,0.00441,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,95,Model 2,8.55,0.00978,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,95,Model 2,8.55,0.01444,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,95,Model 2,8.55,0.01047,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,95,Model 3,7.35,0.00406,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,95,Model 3,7.35,0.00554,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,95,Model 3,7.35,0.00314,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,107,Model 1,5.82,0.47509,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,107,Model 1,5.82,0.05464,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,107,Model 1,5.82,0.01665,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,107,Model 2,8.99,0.81081,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,107,Model 2,8.99,0.13654,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,107,Model 2,8.99,0.04644,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,107,Model 3,11.24,0.69014,0.5,0.5,0.5,0.5,0
HumanEval,Few Shot,Function,Test Data 2,107,Model 3,11.24,0.02377,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,107,Model 3,11.24,0.00679,0.5,0.5,0.5,0.5,0
HumanEval,Few Shot,Function,Test Data 1,67,Model 1,5.82,0.01171,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,67,Model 1,5.82,0.01414,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,67,Model 1,5.82,0.01224,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,67,Model 2,6.37,0.01452,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,67,Model 2,6.37,0.01352,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,67,Model 2,6.37,0.01267,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,67,Model 3,5.62,0.01806,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,67,Model 3,5.62,0.01458,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,67,Model 3,5.62,0.01452,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,20,Model 1,7.4,0.01706,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,20,Model 1,7.4,0.01127,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 3,20,Model 1,7.4,0.01417,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,20,Model 2,8,0.0366,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,20,Model 2,8,0.02487,0,0,0,0,0
HumanEval,Few Shot,Function,Test Data 3,20,Model 2,8,0.02526,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 1,20,Model 3,9.82,0.03992,1,1,1,1,1
HumanEval,Few Shot,Function,Test Data 2,20,Model 3,9.82,0.02647,0,0,0,0,0
HumanEval,Few Shot,Function,Test Data 3,20,Model 3,9.82,0.02675,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,153,Model 1,9.39,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,153,Model 1,9.39,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 3,153,Model 1,9.39,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,153,Model 2,9.64,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,153,Model 2,9.64,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 3,153,Model 2,9.64,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,153,Model 3,9.27,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,153,Model 3,9.27,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 3,153,Model 3,9.27,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,102,Model 1,7.03,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,102,Model 1,7.03,0,0,0,0,0,0
HumanEval,Few Shot,Snippet,Test Data 3,102,Model 1,7.03,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,102,Model 2,8.63,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,102,Model 2,8.63,0,0,0,0,0,0
HumanEval,Few Shot,Snippet,Test Data 3,102,Model 2,8.63,0.00199,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,102,Model 3,10.41,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,102,Model 3,10.41,0,0,0,0,0,0
HumanEval,Few Shot,Snippet,Test Data 3,102,Model 3,10.41,0.002,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,95,Model 1,8.69,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,95,Model 1,8.69,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 3,95,Model 1,8.69,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,95,Model 2,9.85,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,95,Model 2,9.85,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 3,95,Model 2,9.85,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,95,Model 3,8.38,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,95,Model 3,8.38,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 3,95,Model 3,8.38,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,107,Model 1,7.52,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,107,Model 1,7.52,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 3,107,Model 1,7.52,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,107,Model 2,9.13,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 2,107,Model 2,9.13,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 3,107,Model 2,9.13,0,1,1,1,1,1
HumanEval,Few Shot,Snippet,Test Data 1,107,Model 3,8.64,0.001,1,1,1,1,1
